continent,region,superregion2,iso3,Country,year,Fruits,Non-starchy vegetables,Potatoes,Other starchy vegetables,Beans and legumes,Nuts and seeds,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Total seafoods,Eggs,Cheese,Yoghurt (including fermented milk),Sugar-sweetened beverages,Fruit juices,Coffee,Tea,Total Milk,Cardiovascular diseases,Chronic respiratory diseases,Diabetes and kidney diseases,Digestive diseases,Enteric infections,Maternal and neonatal disorders,Mental disorders,Musculoskeletal disorders,Neglected tropical diseases and malaria,Neoplasms,Neurological disorders,Nutritional deficiencies,Other infectious diseases,Other non-communicable diseases,Respiratory infections and tuberculosis,Sense organ diseases,Skin and subcutaneous diseases,Substance use disorders,GDD1,GDD2,GDD3,GDD4,GDD5,GDD_cluster_5,GBD1,GBD2,GBD3,GBD4,GBD5,GBD_cluster_5,PM25,MeanT,RH,PR,Heat_index,Climate_cluster_5,PHDI_total,trade,gdp,urb,Score_Whole_grains,Score_Whole_fruits,Score_Nonstarchy_vegetables,Score_Nuts_and_seeds,Score_Legumes,Score_Unsat_oils,Score_Fish,Score_Starchy_veg,Score_Dairy,Score_Red_meat,Score_Eggs,Score_Sat_fat,Score_Sugar,Fruits_Q,Non-starchy vegetables_Q,Potatoes_Q,Other starchy vegetables_Q,Beans and legumes_Q,Nuts and seeds_Q,Refined grains_Q,Whole grains_Q,Total processed meats_Q,Unprocessed red meats_Q,Total seafoods_Q,Eggs_Q,Cheese_Q,Yoghurt (including fermented milk)_Q,Sugar-sweetened beverages_Q,Fruit juices_Q,Coffee_Q,Tea_Q,Total Milk_Q,Cardiovascular diseases_Q,Chronic respiratory diseases_Q,Diabetes and kidney diseases_Q,Digestive diseases_Q,Enteric infections_Q,Maternal and neonatal disorders_Q,Mental disorders_Q,Musculoskeletal disorders_Q,Neglected tropical diseases and malaria_Q,Neoplasms_Q,Neurological disorders_Q,Nutritional deficiencies_Q,Other infectious diseases_Q,Other non-communicable diseases_Q,Respiratory infections and tuberculosis_Q,Sense organ diseases_Q,Skin and subcutaneous diseases_Q,Substance use disorders_Q,GDD1_Q,GDD2_Q,GDD3_Q,GDD4_Q,GDD5_Q,GBD1_Q,GBD2_Q,GBD3_Q,GBD4_Q,GBD5_Q,PM25_Q,MeanT_Q,RH_Q,PR_Q,Heat_index_Q,PHDI_total_Q,trade_Q,gdp_Q,urb_Q,Score_Whole_grains_Q,Score_Whole_fruits_Q,Score_Nonstarchy_vegetables_Q,Score_Nuts_and_seeds_Q,Score_Legumes_Q,Score_Unsat_oils_Q,Score_Fish_Q,Score_Starchy_veg_Q,Score_Dairy_Q,Score_Red_meat_Q,Score_Eggs_Q,Score_Sat_fat_Q,Score_Sugar_Q
Asia,South Asia,SAARC,AFG,Afghanistan,1990,76.64048201,153.458701,63.04754353,48.9788721,83.31710369,7.763354452,347.7825825,166.2762401,3.008822319,38.30501973,3.08558597,6.121254219,0.790871201,11.01194784,7.10664589,3.686764854,0.535800082,1.135172417,70.28024818,12451.1259634878,2200.289251549,1764.7502943773,2075.40571034436,6991.20689322633,12269.9711486939,1935.96159078784,1259.10677241706,670.522965005311,3109.89211906227,1421.97628729807,1702.05963686803,16458.9362209627,11985.9355804532,18641.7233986168,796.26316457503,391.029984807356,182.613787580602,48.6281395804333,15.811698756,139.273115782514,28.042758995,166.2762401,5,1935.96159078784,3203.49634907014,9817.19369197518,2137.84748094668,1077.89013959233,1,64.17,12.22,47.92,392.27,0.58,3,55.96686262,,,21.177,8.958849143,4.790030126,6.394112542,1.940838613,6.943091974,5.5765076,1.377493737,0,4.104153361,0,5.885821364,0,9.995964157,2,4,3,3,4,4,4,4,1,3,1,1,1,2,1,1,4,4,2,4,4,4,4,3,4,4,2,3,3,4,3,4,4,4,4,1,2,3,2,4,1,4,4,4,4,4,4,4,2,1,1,3,4,,,1,4,2,4,4,4,1,1,1,2,1,3,1,4
Asia,South Asia,SAARC,AFG,Afghanistan,1995,60.21448997,110.3304157,33.06976312,59.35273159,71.77572506,3.946480709,364.5728884,144.8266065,2.65535559,24.3912904,3.118687065,3.69853578,0.636010264,10.74511923,4.156479642,4.210882216,0.541449622,1.099115802,74.41900128,9895.24759228672,1821.4799553154,1463.02274382546,1725.48497425985,8714.2024164966,12484.7782738976,1886.42024303864,1106.05280277313,488.980591324508,2545.05955699101,1248.64617132588,1802.86015164735,16240.5680242498,11387.7442268663,16472.1774928684,663.65652235339,381.370330845495,202.180306520278,44.5899225432667,10.2483939233333,129.600397553943,31.754605616,144.8266065,5,1886.42024303864,2610.14049204173,9655.90159676436,1773.48246478763,922.196537335478,1,64.36,11.71,46.16,366.3,2.84,3,47.9297075,,,21.624,7.803157678,3.763405623,4.597100654,0.986620177,5.981310422,5.559747569,1.392271011,0,4.290006539,0,3.556284404,0,9.999803427,1,2,3,4,4,3,4,4,1,2,1,1,1,2,1,1,4,4,2,4,4,4,4,4,4,3,2,3,3,3,3,4,4,4,3,1,2,3,1,4,1,4,3,3,4,4,3,4,2,1,1,4,3,,,1,4,1,2,3,4,1,1,1,2,1,2,1,4
Asia,South Asia,SAARC,AFG,Afghanistan,2000,53.65416464,120.7599349,27.94092398,63.13716412,42.38143274,2.489463963,365.4304984,71.41581946,2.841237703,23.7532084,3.157687497,3.315391214,0.705415707,11.71825243,5.220507838,4.82135863,0.534994196,1.029791867,81.65992591,8701.99201504961,1655.27651217332,1375.02018156334,1569.02589758241,7902.82235670704,11150.9213469534,1846.64028908701,1034.85631936817,448.764153820614,2297.97465284808,1183.53240772459,1829.9934030062,16076.2957043928,11069.1634142002,15463.7801301763,616.243287977697,378.191791028815,202.362905833831,44.9303880249667,9.96994577233333,123.231664607943,34.178835979,71.41581946,2,1846.64028908701,2339.49359813366,9134.53435846522,1612.15120487787,876.605986296078,1,64.77,12.56,41.11,222.32,0.35,3,41.28310368,,16377032684.0049,22.078,3.8478351,3.35338529,5.031663954,0.622365991,3.531786062,5.594795104,1.409681918,0,4.704179702,0,3.187876167,0,9.999534389,1,2,2,4,4,2,4,4,1,2,1,1,1,2,1,1,3,4,2,4,4,3,3,4,4,3,1,3,3,3,4,4,4,4,3,1,2,2,1,4,1,4,3,3,4,4,3,4,2,1,1,3,2,,2,1,4,1,2,2,4,1,1,1,2,1,2,1,4
Asia,South Asia,SAARC,AFG,Afghanistan,2005,49.16493164,154.6525949,34.17929955,51.61296639,60.32241796,2.401644206,366.4350857,48.84470801,2.887742967,16.87635111,3.208636982,4.398170169,0.603936605,11.72804401,45.59546176,5.349394949,0.540249329,0.636181544,74.34629051,6977.09272942138,1402.42004681852,1311.61012043283,1364.83571768216,6192.61628103798,9480.49407478018,1857.24184667934,1004.48854536804,409.487489593417,2116.89917526786,1148.90055303792,1464.16556685419,7284.43906286147,10051.821921588,12223.9762449305,553.748101177517,387.976482895363,208.328494586965,45.0575811002,8.054088082,115.131221046743,48.604214075,48.84470801,2,1857.24184667934,2001.57626647661,6729.57152023511,1383.62788225034,849.793301664097,1,63.32,11.98,47.22,376.73,1.8,3,42.5856929,,26261445894.5918,22.703,2.631719182,3.072808228,6.443858121,0.600411052,5.026868163,5.626420365,1.432427224,0,4.333913556,2.353487431,4.229009778,0,6.834769798,1,3,2,4,4,1,4,3,1,1,1,1,1,2,1,1,3,2,2,4,4,3,3,4,4,3,1,3,2,2,4,4,4,4,2,1,2,2,1,3,1,3,3,3,4,4,2,4,2,1,1,3,2,,2,1,3,1,3,1,4,1,1,1,2,4,3,1,4
Asia,South Asia,SAARC,AFG,Afghanistan,2010,61.05327725,148.3485829,14.34466532,50.98150219,104.5459947,14.51036229,326.1793338,52.12332313,3.107305656,15.15267512,3.282921034,5.719772478,0.616338587,12.5438066,104.5735531,5.702917304,0.545178741,1.142520797,73.11216605,5693.88921819343,1132.46932962955,1282.89708563272,1108.57858160233,3285.79518783563,7728.7800077705,1894.52044807061,1017.36257652069,394.79208946646,1901.93477700635,1111.34186195173,1051.38926320164,6209.78860675856,7935.91593514001,7874.10582845505,517.25559137612,397.584861627933,207.983280415474,41.9622636599667,7.99325108466667,137.5350029448,77.777527645,52.12332313,2,1894.52044807061,1741.62788424397,4925.79527408969,1120.52395561594,840.240973630327,3,49.68,13.41,42.63,335.88,1.62,3,49.48134202,,49936634725.4957,23.737,2.808368703,3.815829828,6.181190954,3.627590573,8.712166225,5.692305336,1.465589747,3.668458123,4.313615562,3.696445736,5.499781229,0,0,1,3,1,4,4,4,3,3,1,1,1,1,1,2,2,1,3,4,2,3,3,2,2,4,4,3,1,3,2,2,3,4,4,4,1,1,2,2,1,4,2,3,3,2,4,3,2,4,2,1,1,3,3,,2,1,3,1,3,4,4,1,1,3,2,4,3,1,1
Asia,South Asia,SAARC,AFG,Afghanistan,2015,83.05482465,108.8049339,16.2549474,41.96336475,106.0858968,3.05145772,225.6406024,44.59102458,3.371175483,11.12521587,3.236630002,9.366672378,0.580116518,10.35368738,73.73361549,3.763395242,0.55604739,1.811759367,75.15448072,5036.45449089246,926.635862177293,1299.87664313317,946.762367523267,2352.1651869811,6778.79143313175,1937.88969978378,1039.57928015685,377.554125957842,1823.18120697768,1105.4325717926,854.665040598237,3766.15271786732,6893.15316577413,5825.98188662248,485.367008379879,399.894061166027,216.570713740203,42.4100118186667,7.954354577,144.7502492268,57.84849012,44.59102458,3,1937.88969978378,1617.76421198995,3835.49479384755,936.69911485028,849.885352149599,3,73.49,12.96,46.47,399.88,1.88,3,54.57176844,,77274315044.0326,24.803,2.402533652,5.190926541,4.533538913,0.76286443,8.8404914,5.583444021,1.444924108,5.445421963,4.304414231,7.056793435,9.006415748,0,0,2,2,1,3,4,2,2,3,1,1,1,1,1,2,1,1,3,4,2,3,3,2,2,4,4,3,1,3,2,2,3,4,4,4,1,1,2,2,1,4,1,3,3,2,4,2,2,4,2,1,1,3,4,,2,1,3,2,2,2,4,1,1,4,2,4,4,1,1
Asia,South Asia,SAARC,AFG,Afghanistan,2018,65.69703615,98.08012358,21.19580844,44.89214012,103.8302662,31.20569454,223.1689052,41.52892374,2.238317047,8.686127459,3.2336828,8.141982785,0.585793027,10.29935146,88.6900862,3.953438972,0.561111583,1.721834029,69.78519309,4847.15076573029,861.43552772961,1358.60213328238,911.246735966475,1769.46700499298,6249.12231606515,1947.78275420859,1059.45147072448,403.213816929171,1837.15930184846,1094.65642269023,763.466828877007,3293.97178762485,6468.2183365719,5012.69314954092,473.806655135268,399.684721774974,211.889899189705,42.5873592222333,6.35547576366667,140.6572896296,66.79111316,41.52892374,3,1947.78275420859,1587.35241921974,3422.87903437171,886.341131848043,879.143427528677,3,67.23,13.72,40.42,283.99,2.16,3,59.0160343,,89369237677.5116,25.495,2.23754977,4.106064759,4.086671816,7.801423635,8.652522183,5.593866095,1.443608393,3.47801286,4.033516879,9.753968309,7.828829601,0,0,1,1,1,3,4,4,2,3,1,1,1,1,1,2,1,1,3,4,2,3,3,2,1,4,4,3,1,3,2,2,3,4,4,4,1,1,2,2,1,4,2,3,3,2,4,1,2,4,2,1,1,3,4,,2,1,3,1,1,4,4,1,1,3,2,4,4,1,1
Africa,Sub-Saharan Africa,SSA,AGO,Angola,1990,44.2929822,133.972352,26.17377518,46.78515252,28.9646335,2.217554772,303.7402954,32.42372975,4.338433051,15.4736478,89.29991388,1.769281573,1.339986823,8.533794075,103.2947104,17.50538717,0.18807144,0.539215864,104.3116351,4281.83905607164,1167.40334414214,1244.05465213092,1993.17194767729,21074.660417233,18354.601161263,1785.70118940728,984.732921789714,8285.5072521041,1721.33352238202,1031.61898203581,8808.70871281004,12627.7661202364,5291.09757184736,21257.2815409953,531.491801031079,570.630742614585,178.397278827669,34.67367309,7.19378747466667,106.621503466743,75.03993146,32.42372975,2,1785.70118940728,1454.90226035632,13671.3746823556,1580.28764590972,907.342697372752,1,23.83,22.03,63.88,1214.33,0,1,41.10439003,,38839000564.944,37.144,1.746968198,2.768311388,5.582181333,0.554388693,2.413719458,9.219871908,0,1.760268075,5.7092708,2.310642097,1.701232282,0,7.3375358,1,3,3,3,3,2,3,3,1,1,4,1,2,2,2,2,2,2,3,2,3,3,4,4,4,3,1,4,2,2,4,4,4,4,2,3,2,2,1,3,3,3,3,2,4,4,3,2,2,2,3,1,2,,3,2,3,1,3,2,3,4,1,3,3,4,2,1,4
Africa,Sub-Saharan Africa,SSA,AGO,Angola,1995,42.41699537,118.1554285,13.20786778,58.91608918,38.15340197,1.428484506,118.4617331,37.93475594,3.344228561,10.58748455,33.59530829,1.643737196,1.401457664,9.414286845,44.41942477,19.6515249,0.190012066,0.539890147,59.69587994,4077.58944300161,1097.32156922304,1217.59655311001,1843.48183318643,17332.9845911825,17783.836198396,1769.01773321101,967.849112582559,8413.70508635895,1640.47791174284,1023.11657882022,7758.07064894692,11250.0961696069,5163.30202929343,19640.8063824034,520.288232142418,568.392901823326,174.619481297428,25.6777060563,5.191816769,70.8934347079429,51.667756975,37.93475594,2,1769.01773321101,1400.65679326451,12477.5430151697,1470.40170120474,892.994727466668,1,22.7,22.29,61.81,1110.39,0,1,54.69736309,,36931943526.9877,44.169,2.043898488,2.651062211,4.923142854,0.357121127,3.179450164,9.108316344,8.056370089,1.96901076,3.525581222,7.560970437,1.580516535,0,9.741922861,1,3,2,4,4,2,1,3,1,1,3,1,2,2,1,2,2,2,2,2,3,3,4,4,4,3,1,4,2,2,4,4,4,4,2,3,2,2,1,1,1,3,3,1,4,3,3,2,2,2,3,1,4,,3,2,3,1,3,2,4,3,3,3,2,4,2,1,4
Africa,Sub-Saharan Africa,SSA,AGO,Angola,2000,37.29474202,117.7750661,0.644161331,59.29002813,28.66651085,0.639681597,158.1549385,52.20215255,9.964845246,18.56786537,41.90863619,3.807629549,1.448868844,10.02016812,61.28129834,21.89705198,0.19074962,0.543018452,47.87977867,3722.47295727581,981.72509895942,1154.02815455924,1624.62858746192,14050.4441041734,16219.4537916242,1761.54858392103,952.728667930775,9174.05038930126,1505.24903530012,1003.03304656234,5676.83027906982,9374.29085739041,4817.32240900005,16723.5188388548,509.222386379645,559.268466369107,168.211367906862,22.1303379268333,10.7801133883333,75.6166997500857,60.285663235,52.20215255,2,1761.54858392103,1310.15291022593,10862.2729527734,1303.17684321067,856.648310464174,1,23.51,21.86,61.86,1058.64,0,1,49.44112584,,53876764896.2744,50.087,2.812615978,2.330921376,4.907294421,0.159920399,2.388875904,9.130440584,6.613083995,5.016452635,2.967440782,0,3.661182259,0,9.452897508,1,2,1,4,3,1,2,3,2,1,4,1,2,2,1,3,1,2,1,2,3,3,4,4,4,3,1,4,1,2,4,4,4,4,1,3,1,1,1,1,2,3,3,1,4,3,3,2,2,1,3,1,3,,3,2,3,1,2,1,3,3,3,3,2,1,2,1,4
